DisplayImage	corrAns	thisN	thisTrialN	thisRepN	ishihara_number.text	ishihara_pics.thisRepN	ishihara_pics.thisTrialN	ishihara_pics.thisN	ishihara_pics.thisIndex	blocks.thisRepN	blocks.thisTrialN	blocks.thisN	blocks.thisIndex	thisRow.t	notes	Settings.started	Settings.stopped	Demographics.started	Demographics.stopped	demographic_form.index	demographic_form.itemText	demographic_form.type	demographic_form.font	demographic_form.markerColor	demographic_form.response	demographic_form.rt	demographic_button.numClicks	demographic_button.timesOn	demographic_button.timesOff	Education.started	Education.stopped	education_form.index	education_form.itemText	education_form.type	education_form.font	education_form.markerColor	education_form.response	education_form.rt	education_button.numClicks	education_button.timesOn	education_button.timesOff	Ishihara.started	Ishihara.stopped	ishihara_pics.ishihara_number.text	no_text_blocks_self_paced.started	no_text_blocks_self_paced.stopped	colour	target	button_pressed	nback_response	nback_RT	duration	text_nr	trial_nr	block_nr	block_name	block_kind	word	global_onset_time	question	chosen_ans	ans_correct	block_nr_exp	n-back_level	text_blocks_self_paced.started	text_blocks_self_paced.stopped	end.started	end.stopped	participant	session	testing_mode	date	expName	psychopyVersion	expStart	
																											1	[1.4008846282958984]	[1.4008898735046387]																																								03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
																														28.991125345230103	71.69013690948486	0.0	Bitte beantworten Sie die folgenden Fragen zu Ihrer Ausbildung:	description	None	None																																	03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
																																education	Was ist Ihr höchster Bildungsabschluss?	radio	None	None	Master	3.6988556385040283																															03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
																																edu_intro	Wie viele Jahre verbrachten Sie insgesamt mit:	description	None	None																																	03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
																																edu_school_years	Schule	free text	None	None	12	None																															03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
																																edu_eveningschool_years	Abendschule	free text	None	None	0	None																															03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
																																edu_training_years	Ausbildung	free text	None	None	0	None																															03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
																																edu_training_GDR_years	Fachschule	free text	None	None	0	None																															03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
																																edu_uni_years	Universität/Hochschule	free text	None	None	10	None																															03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
																																edu_other_years	Sonstiges	free text	None	None	0	None																															03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
